stype, stype2, 1 - stype - stype2 
335.79845038, 278.42231841, 223.00156399
335.89998362, 278.51837170, 223.09750196
336.00139930, 278.61431254, 223.19335956
336.10269887, 278.71014231, 223.28913798
336.20388374, 278.80586238, 223.38483841
336.30495533, 278.90147410, 223.48046201
336.40591503, 278.99697879, 223.57600992
336.50676421, 279.09237778, 223.67148330
336.60750423, 279.18767237, 223.76688324
336.70813643, 279.28286384, 223.86221087
336.80866214, 279.37795347, 223.95746727
336.90908267, 279.47294252, 224.05265351
337.00939931, 279.56783222, 224.14777066
337.10961335, 279.66262382, 224.24281976
337.20972604, 279.75731851, 224.33780185
337.30973865, 279.85191751, 224.43271795
337.40965241, 279.94642201, 224.52756906
337.50946854, 280.04083317, 224.62235617
337.60918825, 280.13515216, 224.71708027
337.70881273, 280.22938013, 224.81174233
337.80834316, 280.32351821, 224.90634329
337.90778072, 280.41756753, 225.00088409
338.00712656, 280.51152920, 225.09536567
338.10638181, 280.60540432, 225.18978895
338.20554761, 280.69919397, 225.28415482
338.30462508, 280.79289923, 225.37846418
338.40361531, 280.88652117, 225.47271791
338.50251940, 280.98006083, 225.56691689
338.60133843, 281.07351925, 225.66106195
338.70007346, 281.16689748, 225.75515396
338.79872556, 281.26019651, 225.84919375
338.89729576, 281.35341737, 225.94318214
338.99578509, 281.44656105, 226.03711994
339.09419459, 281.53962854, 226.13100796
339.19252526, 281.63262081, 226.22484699
339.29077810, 281.72553883, 226.31863781
339.38895409, 281.81838355, 226.41238118
339.48705422, 281.91115593, 226.50607788
339.58507946, 282.00385690, 226.59972864
339.68303075, 282.09648738, 226.69333421
339.78090905, 282.18904829, 226.78689533
339.87871530, 282.28154054, 226.88041270
339.97645042, 282.37396503, 226.97388704
340.07411533, 282.46632265, 227.06731906
340.17171093, 282.55861428, 227.16070944
340.26923812, 282.65084079, 227.25405886
340.36669780, 282.74300305, 227.34736801
340.46409084, 282.83510190, 227.44063754
340.56141811, 282.92713820, 227.53386811
